,Id,Customers
1,1,863.3920421
56,2,683.6201979
108,3,854.6313932
153,4,897.173842
202,5,1002.149359
252,6,935.9035037
335,7,828.4229031
375,8,861.5110321
432,9,723.2943376
478,10,857.4893387
526,11,730.1857495
555,12,998.0682919
618,13,850.7293107
658,14,709.0136664
711,15,797.6530598
754,16,819.3239928
810,17,804.4234442
848,18,884.8780767
911,19,896.6852962
943,20,840.1556911
1007,21,876.6757809
1050,22,836.5109449
1102,23,818.2230368
1141,24,834.004136
1190,25,1023.950454
1222,26,652.7521004
1295,27,900.4958871
1333,28,848.5707742
1391,29,823.6915745
1429,30,855.141407
1470,31,750.6229278
1525,32,897.3186153
1566,33,676.4021899
1607,34,793.1503824
1671,35,712.8326826
1726,36,885.3599153
1774,37,973.9684566
1812,38,745.2370624
1855,39,772.5024231
1918,40,785.3613997
1963,41,780.8549363
2007,42,780.803829
2050,43,703.6754055
2099,44,840.1751295
2159,45,829.1317024
2204,46,956.240334
2245,47,770.5145857
2296,48,568.9811411
2335,49,655.6746655
2399,50,1047.54092
2436,51,888.9006516
2491,52,804.7956119
2526,53,900.6387168
2592,54,701.2565296
2640,55,775.7839399
2670,56,1001.452793
2701,57,969.7356514
2784,58,696.1916718
2826,59,762.4621053
2875,60,724.3847024
2911,61,946.9374019
2975,62,781.6091363
3016,63,850.9991676
3072,64,689.0425753
3120,65,951.716987
3158,66,929.0789261
3201,67,861.1801377
3264,68,830.1364317
3308,69,949.1542697
3352,70,737.803227
3401,71,769.2387633
3449,72,692.5321498
3489,73,782.876965
3549,74,586.5148
3577,75,754.2901753
3640,76,705.2913144
3683,77,728.8018629
3719,78,785.0327651
3763,79,831.3864014
3825,80,947.8163931
3886,81,868.0482553
3933,82,979.2269078
3982,83,684.055167
4029,84,707.4217763
4068,85,950.2446018
4124,86,713.9896777
4164,87,742.9813551
4209,88,936.4174636
4264,89,857.6461159
4306,90,1035.913055
4344,91,671.9929205
4411,92,594.8811
4453,93,978.4769166
4500,94,657.9201554
4555,95,653.5490845
4595,96,714.273245
4655,97,802.5633832
4679,98,726.7011853
4745,99,879.8970947
4786,100,749.7195253
4819,101,637.6332932
4850,102,843.4756662
4931,103,836.3484506
4970,104,840.1327258
5032,105,851.7172839
5078,106,780.1126048
5096,107,965.6480262
5171,108,795.1672836
5221,109,899.3638415
5257,110,857.0610445
5322,111,703.1863447
5364,112,830.852065
5424,113,671.7654449
5450,114,716.7272666
5504,115,960.6132183
5547,116,690.0882108
5587,117,770.6103406
5641,118,691.1468798
5682,119,988.3863262
5729,120,675.8880727
5780,121,799.8671474
5835,122,744.482456
5879,123,1025.069104
5947,124,723.4392698
5994,125,801.8551117
6029,126,808.4900205
6093,127,908.004592
6141,128,878.5190213
6178,129,693.0889564
6223,130,824.7657138
6263,131,954.5051785
6319,132,849.6654557
6376,133,730.818097
6403,134,856.4097751
6444,135,945.9686957
6523,136,1023.631257
6572,137,789.8509135
6609,138,747.0582211
6672,139,724.9337105
6717,140,900.9088518
6766,141,869.9834309
6816,142,832.900418
6853,143,879.071336
6898,144,694.5718569
6955,145,800.8832499
6986,146,813.4596007
7048,147,837.3129413
7080,148,772.9718865
7150,149,971.32339
7197,150,609.491222
7231,151,1026.034193
7284,152,877.3499681
7317,153,666.4035272
7376,154,947.0950234
7429,155,538.0589829
7471,156,868.8244913
7519,157,781.9205028
7584,158,872.8414001
7627,159,922.992212
7679,160,794.0753156
7717,161,659.2323551
7770,162,902.2630129
7799,163,721.8734255
7853,164,622.8109691
7906,165,729.6892765
7967,166,772.7946536
8014,167,864.9985989
8061,168,861.7649649
8100,169,989.6392853
8144,170,957.8383536
8184,171,783.9885618
8225,172,671.2604158
8266,173,972.70442
8320,174,958.0081812
8400,175,671.6618119
